Date,Open,High,Low,Close,Volume,Message
2-Jun-15,248.92,249.4,246.3,248.35,2134809,
3-Jun-15,248.2,250.72,247.01,248.99,1781505,
4-Jun-15,247.5,249.3,245.71,245.92,2453615,
5-Jun-15,246,249.7,245.68,249.14,3022026,
8-Jun-15,250.85,258.75,250.31,256.29,5016997,
9-Jun-15,255.4,257.74,254.14,256,2611146,
10-Jun-15,251.9,254,248.5,250.7,3454453,
11-Jun-15,253.26,254.37,250.43,251.41,2044058,
12-Jun-15,250.21,253.46,250.21,250.69,1422335,
15-Jun-15,249.7,251.28,246.01,250.38,2186175,
16-Jun-15,250.13,253.44,249.095,253.12,1984678,
17-Jun-15,252.17,264.36,252.02,260.41,5512920,
18-Jun-15,262,263.46,260.02,261.89,2782703,
19-Jun-15,262.4,263.8,260.1,262.51,2463013,
22-Jun-15,262.15,264.4,255.69,259.79,4561079,
23-Jun-15,260.32,268,258.57,267.67,3870818,
24-Jun-15,266.98,267.35,263.72,265.17,2412293,
25-Jun-15,266.45,271.41,265.25,268.79,2849204,
26-Jun-15,268.89,269.11,266,267.09,3838434,
29-Jun-15,261.95,265.95,260.7,262.02,3478909,
30-Jun-15,264.8,270.92,264,268.26,3086935,
1-Jul-15,271.11,272.62,267.85,269.15,2101224,
2-Jul-15,280.195,282.45,273.31,280.02,7163930,
6-Jul-15,278.88,281.69,276.3,279.72,4121933,"11,507 deliveries in 2Q15"
7-Jul-15,275,275.2,260.77,267.88,6105126,
8-Jul-15,259.32,260.8,254.31,254.96,6221077,
9-Jul-15,259.08,262.95,256.79,257.92,3334077,
10-Jul-15,262.22,263,257.82,259.15,2610858,
13-Jul-15,262.25,262.55,256.05,262.16,2960319,
14-Jul-15,262.1,265.99,260.51,265.65,1907641,
15-Jul-15,266.74,267.49,262.08,263.14,2021621,
16-Jul-15,264.22,267.2,263.16,266.68,1615961,
17-Jul-15,272.5,275.54,268.25,274.66,5004099,
20-Jul-15,275,286.65,272.54,282.26,4978454,
21-Jul-15,270.05,273.5,266.55,266.77,6108686,
22-Jul-15,261.27,269.44,260.86,267.87,3104960,
23-Jul-15,269.65,269.9,265.27,267.2,2227239,
24-Jul-15,267.38,271.09,263.92,265.41,2836498,
27-Jul-15,262.43,264.432,250.79,253.01,4694192,
28-Jul-15,255.75,265.4,251.837,264.82,3895808,
29-Jul-15,264.27,267.89,262,263.82,2790095,
30-Jul-15,262.69,266.94,262.11,266.79,2034560,
31-Jul-15,267.6,269.36,265.123,266.15,2222552,
3-Aug-15,266.29,266.71,257.07,259.99,2553474,
4-Aug-15,260.01,266.72,258.34,266.28,2352530,
5-Aug-15,263.58,271,260.4,270.13,6214319,
6-Aug-15,249.54,255,236.12,246.13,14623754,2Q15 Earnings
7-Aug-15,243.58,243.73,238.39,242.51,5073390,
10-Aug-15,238.15,242.97,236.05,241.14,4185860,
11-Aug-15,237.15,239.3,234.44,237.37,4264939,
12-Aug-15,235,239.77,232.74,238.17,3739157,
13-Aug-15,239.86,246.48,239.12,242.51,4689182,
14-Aug-15,247.24,247.93,241.77,243.15,4364810,
17-Aug-15,255.56,256.59,250.51,254.99,7176690,
18-Aug-15,255.38,260.95,253.56,260.72,4195035,
19-Aug-15,260.33,260.65,255.02,255.25,3604282,
20-Aug-15,252.06,254.56,241.9,242.18,4905757,
21-Aug-15,236,243.8,230.51,230.77,6590234,
24-Aug-15,202.79,231.4,195,218.87,9581585,8/24 macro scare
25-Aug-15,230.52,230.9,219.12,220.03,4327294,
26-Aug-15,227.93,228,215.51,224.84,4963042,
27-Aug-15,231,244.75,230.81,242.99,7655959,
28-Aug-15,241.86,251.45,241.57,248.48,5513673,
31-Aug-15,245.62,254.95,245.51,249.06,4700232,
1-Sep-15,240.34,246,236.97,238.63,5454765,
2-Sep-15,245.3,247.88,239.78,247.69,4629174,
3-Sep-15,252.06,252.08,245,245.57,4194772,
4-Sep-15,240.89,244.09,238.2,241.93,3689153,
8-Sep-15,245.05,249.16,244.05,248.17,3138231,
9-Sep-15,252.05,254.25,248.303,248.91,3390788,
10-Sep-15,247.23,250.723,245.33,248.48,2709024,
11-Sep-15,247.64,250.24,244.73,250.24,2350844,
14-Sep-15,251.1,254.25,249.67,253.19,2890851,
15-Sep-15,252.75,254.6,249.5,253.57,2933466,
16-Sep-15,253.04,262.88,252.88,262.25,4417081,
17-Sep-15,263.96,265.5,260.69,262.07,3585812,
18-Sep-15,257.96,263.82,257.5,260.62,3763064,
21-Sep-15,263.98,271.57,255.8,264.2,6120155,
22-Sep-15,259.03,262.65,255.87,260.94,3664353,
23-Sep-15,261.95,262.08,257.584,261.06,2600778,
24-Sep-15,259.53,263.45,256.21,263.12,3448191,
25-Sep-15,266.61,266.91,256.15,256.91,3773392,
28-Sep-15,257.35,259.79,246.61,248.43,4901057,
29-Sep-15,250.46,254.73,245.46,246.65,3703154,
30-Sep-15,252,252.4,242.34,248.4,4929582,
1-Oct-15,247.51,248.5,237.13,239.88,4572964,
2-Oct-15,235.6,247.7,234.93,247.57,4423982,
5-Oct-15,248.84,249.84,244.13,246.15,3689865,"11,580 deliveries in 3Q15"
