Date,Open,High,Low,Close,Volume,Message
21-Mar-16,37.060001,37.27,36.009998,36.450001,2263800,
22-Mar-16,36.134998,36.25,35.200001,35.799999,2783000,
23-Mar-16,35.709999,35.790001,33.779999,34.290001,2590100,
24-Mar-16,33.970001,34.740002,33.77,34.400002,1866200,
28-Mar-16,34.66,35.73,34.139999,34.75,1800500,
29-Mar-16,34.82,36.389999,34.799999,36.290001,2764200,
30-Mar-16,36.75,37.150002,36.23,37.029999,3277200,
31-Mar-16,37.029999,38.290001,36.5,37.290001,3910000,
1-Apr-16,37.119999,37.150002,35.57,35.98,3319300,
4-Apr-16,35.860001,37.82,35.759998,37.119999,2390500,
5-Apr-16,36.299999,37.099998,36.139999,36.73,1612300,
6-Apr-16,36.830002,37.529999,36.380001,36.529999,2198500,
7-Apr-16,36.470001,36.884998,35.972,36.450001,1829500,
8-Apr-16,36.880001,38.09,36.389999,37.490002,2826200,
11-Apr-16,37.869999,39.610001,37.330002,39.360001,4778700,Sell side visits HQ in Israel
12-Apr-16,39.360001,39.459999,38.450001,38.939999,3684800,
13-Apr-16,39.43,40.599998,38.98,39.84,5757800,
14-Apr-16,39.599998,40.790001,39.5,40.43,2638100,
15-Apr-16,40.209999,40.439999,39.810001,40.040001,1753400,
18-Apr-16,39.810001,40.32,39.599998,40.25,2116100,
19-Apr-16,40.48,40.5,39.389999,40.009998,2176800,
20-Apr-16,40,41.34,39.77,40.310001,2888200,
21-Apr-16,40.919998,41.369999,39.778999,39.799999,1739000,
22-Apr-16,39.77,40.450001,39.07,39.43,1976900,
25-Apr-16,39.529999,39.93,37.560001,38.52,5726200,
26-Apr-16,38.700001,39.209999,38.380001,38.82,1317400,
27-Apr-16,38.799999,39.439999,38.509998,39.34,1482400,
28-Apr-16,39.029999,40.825001,38.810001,39.580002,1667800,
29-Apr-16,39.400002,39.57,38.049999,38.150002,3378300,
2-May-16,38.5,38.57,37.279999,38.259998,1687200,
3-May-16,37.619999,37.990002,36.77,37.509998,1584100,
4-May-16,37.43,37.490002,35.700001,36.540001,3129900,
5-May-16,35.73,36.400002,34.41,35.669998,4519500,C1Q16 Earnings
6-May-16,36,36.09,34.400002,35,2852100,
9-May-16,34.919998,35.75,34.799999,35.419998,2321900,
10-May-16,35.630001,36.549999,35.419998,36.470001,1564000,
11-May-16,36.48,37.82,36.48,36.84,2263400,
12-May-16,37.220001,37.439999,35.759998,36.66,3034100,
13-May-16,37.139999,37.75,36.279999,36.529999,2747600,
16-May-16,36.740002,37.779999,36.709999,37.299999,1515000,
17-May-16,37.119999,37.599998,36.119999,36.23,1518100,
18-May-16,36.139999,36.700001,35.700001,36.450001,2406600,
19-May-16,36.43,36.830002,35.790001,36.169998,1560000,
20-May-16,36.439999,37.053001,36.040001,36.84,1888400,
23-May-16,36.720001,36.950001,36.400002,36.860001,1767900,
24-May-16,36.779999,38.16,36.709999,37.669998,3669200,
25-May-16,38,38.27,37.299999,37.900002,3344200,
26-May-16,38.139999,38.220001,36.110001,37.150002,2770600,
27-May-16,37.049999,37.759998,36.82,37.580002,2154700,
31-May-16,37.970001,38.105,37.119999,37.970001,11709700,
1-Jun-16,37.93,38.347,37.509998,38.16,2143400,
2-Jun-16,38,39.900002,37.900002,39.689999,3081100,
3-Jun-16,39.349998,39.459999,38.41,38.669998,2297000,
6-Jun-16,38.68,39.34,38.669998,39.02,2095300,
7-Jun-16,39.189999,39.32,38.799999,38.91,1650300,
8-Jun-16,39.049999,39.099998,38.220001,38.25,2036200,
9-Jun-16,38.049999,38.41,37.259998,37.380001,2287300,
10-Jun-16,37.150002,37.41,36.169998,36.360001,2575500,
13-Jun-16,36.060001,36.099998,34.990002,35,2754000,
14-Jun-16,35,35.27,33.93,34.860001,3589300,CFO + new IR do conferences + NDR
15-Jun-16,35.130001,36,34.950001,35.810001,2611700,
16-Jun-16,35.57,36.919998,35.57,36.82,2772500,
17-Jun-16,37.02,39.369999,37.02,39.169998,4265700,
20-Jun-16,39.849998,41.07,39.380001,40.599998,4308200,
21-Jun-16,40.860001,41.290001,40.400002,40.860001,3101300,
22-Jun-16,40.900002,40.919998,40.279999,40.529999,2059600,
23-Jun-16,40.84,43.290001,40.75,43.25,4236200,
24-Jun-16,41.18,42.619999,40,41.700001,4892200,
27-Jun-16,40.93,40.970001,38.889999,39.790001,3977500,
28-Jun-16,39.700001,40.779999,39.369999,40.360001,3052900,
29-Jun-16,40.68,42.169998,40.68,41.959999,3371000,
30-Jun-16,45.459999,49,45.290001,46.139999,16723500,BMW + Intel Partnership
1-Jul-16,45.52,47.48,45.5,47.110001,7768900,
5-Jul-16,46.400002,46.490002,44.369999,45.029999,4854700,
6-Jul-16,44.779999,46.060001,44.57,45,2830400,
7-Jul-16,45,45.279999,42.939999,44.099998,4722600,
8-Jul-16,45.029999,45.91,44.509998,45.830002,4038100,
11-Jul-16,46.189999,49.25,46.18,47.77,7530800,
12-Jul-16,48.099998,48.299999,47.040001,47.490002,3600400,
13-Jul-16,47.970001,48.18,46.810001,47.009998,2296600,
14-Jul-16,47.599998,48.099998,47.049999,47.580002,2454900,
15-Jul-16,47.580002,48.080002,47,47.950001,2682400,
18-Jul-16,48.68,49.009998,48.23,48.48,3397100,
19-Jul-16,48.16,48.18,47.23,48,2166800,
20-Jul-16,48.130001,48.68,47.360001,48.209999,1948100,
21-Jul-16,48.240002,48.52,48.02,48.41,2445100,
22-Jul-16,48.41,50.18,48.150002,49.599998,6307000,
